종목코드,단축코드,표준코드,종목명,종목명_통합,한글 종목명,한글 종목약명,영문 종목명,시장구분,소속부,액면가,상장주식수,소속부.1,업종코드,업종명,결산월,지정자문인,자본금,통화구분,대표이사,대표전화,주소,상장일,증권구분,주식종류
001080,001080,KR7001080001,만호제강,만호제강,만호제강보통주,만호제강,ManhoRope&Wire,KOSPI,,1000,4150000.0,,32401.0,1차 철강 제조업,6.0,,4150000000.0,원(KRW),김상환,051-601-0351,부산광역시 강서구  녹산화전로 71 ,1977/06/18,주권,보통주
0010V0,0010V0,KR70010V0005,제이피아이헬스케어,제이피아이헬스케어,제이피아이헬스케어,제이피아이헬스케어,"JPI Healthcare Co., Ltd.",KOSDAQ,벤처기업부,500,5105400.0,,32701.0,의료용 기기 제조업,12.0,,2552700000.0,원(KRW),김진국,02-2108-2580,"서울특별시 구로구 디지털로33길 28, 608호 ",2025/08/21,주권,보통주
001120,001120,KR7001120005,LX인터내셔널,LX인터내셔널,LX인터내셔널보통주,LX인터내셔널,LX INTERNATIONAL CORP.,KOSPI,,5000,38760000.0,,74601.0,상품 중개업,12.0,,193800000000.0,원(KRW),윤춘성,02-6924-3114,서울특별시 종로구 새문안로 58 LG광화문빌딩 ,1976/01/30,주권,보통주
001130,001130,KR7001130004,대한제분,대한제분,대한제분보통주,대한제분,DaehanFlourMill,KOSPI,,5000,1690000.0,,31005.0,"곡물가공품, 전분 및 전분제품 제조업",12.0,,8450000000.0,원(KRW),"이건영, 송인석",02-3455-0200,서울특별시 중구 세종대로 39 ,1970/11/25,주권,보통주
001140,001140,KR7001140003,국보,국보,국보보통주,국보,KUKBO,KOSPI,,500,15856388.0,,84903.0,도로 화물 운송업,12.0,,7928194000.0,원(KRW),"박찬하, 김룡영(각자 대표)",02-548-7650,"부산광역시 수영구 광남로 42 8층(남천동, 국보빌딩)",1989/12/02,주권,보통주
001200,001200,KR7001200005,유진투자증권,유진투자증권,유진투자증권보통주,유진투자증권,EUGENE INVESTMENT & SECURITIES,KOSPI,,5000,96866418.0,,116601.0,금융 지원 서비스업,12.0,,537592090000.0,원(KRW),"유창수, 고경모(각자 대표)",02-368-6114,서울특별시 영등포구 국제금융로 24 (여의도동),1987/08/24,주권,보통주
001210,001210,KR7001210004,금호전기,금호전기,금호전기보통주,금호전기,KumhoElectric,KOSPI,,500,61553997.0,,32804.0,전구 및 조명장치 제조업,12.0,,30776998500.0,원(KRW),이홍민,02-1566-2718,서울특별시 영등포구 국제금융로 10 쓰리아이에프씨동 14층,1973/11/15,주권,보통주
001230,001230,KR7001230002,동국홀딩스,동국홀딩스,동국홀딩스보통주,동국홀딩스,DONGKUK HOLDINGS,KOSPI,,5000,31800483.0,,116409.0,기타 금융업,12.0,,271066765000.0,원(KRW),장세욱,02-317-1114,서울특별시 중구  을지로5길 19 페럼타워,1988/05/09,주권,보통주
001250,001250,KR7001250000,GS글로벌,GS글로벌,지에스글로벌보통주,GS글로벌,GS Global Corp.,KOSPI,,2500,82533764.0,,74608.0,상품 종합 도매업,12.0,,206334410000.0,원(KRW),이영환,02-2005-5300,서울특별시 강남구 논현로 508 GS강남타워 ,1976/06/26,주권,보통주
001260,001260,KR7001260009,남광토건,남광토건,남광토건보통주,남광토건,NamkwangEngineering&Construction,KOSPI,,5000,9832572.0,,64102.0,토목 건설업,12.0,,49162860000.0,원(KRW),"김종수, 이동철(각자대표)",02-3011-0114,"경기도 용인시 기흥구 흥덕중앙로 120 비122호(영덕동, 흥덕유타워) ",1976/12/28,주권,보통주
001270,001270,KR7001270008,부국증권,부국증권,부국증권보통주,부국증권,BookookSecurities,KOSPI,,5000,10369886.0,,116601.0,금융 지원 서비스업,12.0,,66849430000.0,원(KRW),박현철,02-368-9200,서울 영등포구 여의도동 34-2,1988/07/19,주권,보통주
,001275,KR7001271006,,부국증권1우선주,부국증권1우선주,부국증권우,BookookSecurities(1P),KOSPI,,5000,3000000.0,,,,,,,,,,,1989/11/10,주권,구형우선주
001290,001290,KR7001290006,상상인증권,상상인증권,상상인증권보통주,상상인증권,SANGSANGININVESTMENT&SECURITIES,KOSPI,,1000,108337120.0,,116601.0,금융 지원 서비스업,12.0,,109640596000.0,원(KRW),주 원,02-1566-0900,서울특별시 영등포구 여의대로 108 파크원 타워1,1988/09/23,주권,보통주
001340,001340,KR7001340009,PKC,PKC,피케이씨보통주,PKC,PKC,KOSPI,,500,44918407.0,,32001.0,기초 화학물질 제조업,12.0,,22459203500.0,원(KRW),윤해구,02-2610-2444,전라북도 군산시  임해로 494-16 ,1976/06/10,주권,보통주
001360,001360,KR7001360007,삼성제약,삼성제약,삼성제약,삼성제약,SAMSUNG PHARMACEUTICAL,KOSPI,,500,94162079.0,,32102.0,의약품 제조업,12.0,,47081039500.0,원(KRW),정성택 대표이사,031-353-6681,경기도 화성시 향남읍 제약공단4길 10 -,1975/07/04,주권,보통주
001380,001380,KR7001380005,SG글로벌,SG글로벌,SG글로벌보통주,SG글로벌,SG GLOBAL,KOSPI,,500,44964143.0,,33003.0,자동차 신품 부품 제조업,12.0,,22482071500.0,원(KRW),이의범,070-5038-6333,충청남도 예산군 예산읍 창말로 75 (주)SG글로벌,1976/06/29,주권,보통주
001390,001390,KR7001390004,KG케미칼,KG케미칼,KG케미칼보통주,KG케미칼,KG Chemical,KOSPI,,1000,68469040.0,,32001.0,기초 화학물질 제조업,12.0,,71128350000.0,원(KRW),"곽정현, 김재익",052-231-1842,울산광역시 울주군 온산읍 당월로 322 ,1989/08/25,주권,보통주
001420,001420,KR7001420009,태원물산,태원물산,태원물산보통주,태원물산,TaewonMulsan,KOSPI,,500,7600000.0,,33003.0,자동차 신품 부품 제조업,12.0,,3800000000.0,원(KRW),남기영,02-555-4301,서울특별시 강남구 테헤란로86길 14 (대치동),1975/06/24,주권,보통주
001430,001430,KR7001430008,세아베스틸지주,세아베스틸지주,세아베스틸지주보통주,세아베스틸지주,SeAH Besteel Holdings Corporation,KOSPI,,5000,35862119.0,,32401.0,1차 철강 제조업,12.0,,219310595000.0,원(KRW),"이태성, 김수호",02-6970-2021,서울시 마포구 양화로 45 ,1991/03/12,주권,보통주
001440,001440,KR7001440007,대한전선,대한전선,대한전선보통주,대한전선,Taihan Cable & Solution,KOSPI,,1000,186447300.0,,32803.0,절연선 및 케이블 제조업,12.0,,186447300000.0,원(KRW),송종민,02-316-9114,경기도 안양시 동안구 관양동 1746-2 대한스마트타워 ,1968/12/27,주권,보통주
001450,001450,KR7001450006,현대해상,현대해상,현대해상화재보험보통주,현대해상,"Hyundai MARINE & FIRE INSURANCE CO.,LTD",KOSPI,,500,89400000.0,,116501.0,보험업,12.0,,44700000000.0,원(KRW),이석현,02-1588-5656,서울 종로구 세종로 현대해상화재보험빌딩 ,1989/08/25,주권,보통주
001460,001460,KR7001460005,BYC,BYC,BYC보통주,BYC,BYC,KOSPI,,500,6246150.0,,31401.0,봉제의복 제조업,12.0,,4200000000.0,원(KRW),김 대 환,02-840-3172,서울특별시 영등포구 디지털로38길 27 (주)비와이씨 ,1975/06/02,주권,보통주
,001465,KR7001461003,,BYC1우선주,BYC1우선주,BYC우,BYC(1P),KOSPI,,500,2153850.0,,,,,,,,,,,1989/09/05,주권,구형우선주
